,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_latitude,employee_residence_longitude,employee_residence_a3
0,0,2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,39.3260685,-4.8379791,ESP
1,1,2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,39.7837304,-100.445882,USA
2,2,2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,39.7837304,-100.445882,USA
3,3,2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,61.0666922,-107.991707,CAN
4,4,2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,61.0666922,-107.991707,CAN
5,5,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,39.7837304,-100.445882,USA
6,6,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,39.7837304,-100.445882,USA
7,7,2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,61.0666922,-107.991707,CAN
8,8,2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,61.0666922,-107.991707,CAN
9,9,2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,39.7837304,-100.445882,USA
10,10,2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,39.7837304,-100.445882,USA
11,11,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,39.7837304,-100.445882,USA
12,12,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,39.7837304,-100.445882,USA
13,13,2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,39.7837304,-100.445882,USA
14,14,2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,39.7837304,-100.445882,USA
15,15,2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,39.7837304,-100.445882,USA
16,16,2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,39.7837304,-100.445882,USA
17,17,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,39.7837304,-100.445882,USA
18,18,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,39.7837304,-100.445882,USA
19,19,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,39.7837304,-100.445882,USA
20,20,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,39.7837304,-100.445882,USA
21,21,2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,51.1638175,10.4478313,DEU
22,22,2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,51.1638175,10.4478313,DEU
23,23,2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,54.7023545,-3.2765753,GBR
24,24,2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,54.7023545,-3.2765753,GBR
25,25,2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,39.7837304,-100.445882,USA
26,26,2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,39.7837304,-100.445882,USA
27,27,2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,39.7837304,-100.445882,USA
28,28,2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,39.7837304,-100.445882,USA
29,29,2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,61.0666922,-107.991707,CAN
30,30,2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,61.0666922,-107.991707,CAN
31,31,2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,39.7837304,-100.445882,USA
32,32,2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,39.7837304,-100.445882,USA
33,33,2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,39.7837304,-100.445882,USA
34,34,2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,39.7837304,-100.445882,USA
35,35,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,39.7837304,-100.445882,USA
36,36,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,39.7837304,-100.445882,USA
37,37,2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,39.7837304,-100.445882,USA
38,38,2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,39.7837304,-100.445882,USA
39,39,2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,9.6000359,7.9999721,NGA
40,40,2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,9.6000359,7.9999721,NGA
41,41,2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L,22.3511148,78.6677428,IND
42,42,2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,39.7837304,-100.445882,USA
43,43,2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,39.7837304,-100.445882,USA
44,44,2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,39.7837304,-100.445882,USA
45,45,2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,39.7837304,-100.445882,USA
46,46,2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,39.7837304,-100.445882,USA
47,47,2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,39.7837304,-100.445882,USA
48,48,2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,39.7837304,-100.445882,USA
49,49,2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,39.7837304,-100.445882,USA
50,50,2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,39.7837304,-100.445882,USA
51,51,2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,39.7837304,-100.445882,USA
52,52,2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,39.7837304,-100.445882,USA
53,53,2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,39.7837304,-100.445882,USA
54,54,2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,39.7837304,-100.445882,USA
55,55,2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,39.7837304,-100.445882,USA
56,56,2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,39.7837304,-100.445882,USA
57,57,2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,39.7837304,-100.445882,USA
58,58,2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,39.7837304,-100.445882,USA
59,59,2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,39.7837304,-100.445882,USA
60,60,2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,39.7837304,-100.445882,USA
61,61,2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,39.7837304,-100.445882,USA
62,62,2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,39.7837304,-100.445882,USA
63,63,2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,39.7837304,-100.445882,USA
64,64,2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,39.7837304,-100.445882,USA
